requirement_id,category,requirement_text,control_objective
CC6.1,CC - Logical and Physical Access Controls,"Logical access security software, infrastructure, and architectures have been implemented to support (1) identification and authentication of authorized users; (2) restriction of authorized user access to system components, or portions thereof, authorized by management, including physical and remote access; (3) prevention and detection of unauthorized access; and (4) the ability to identify access requirements and segregate access privileges.","To ensure that logical access to systems and data is restricted to authorized users, roles, and services, and that access controls are designed to prevent unauthorized access to information assets."
CC6.2,CC - Logical and Physical Access Controls,"Prior to issuing system credentials and granting system access, the entity registers and authorizes new internal and external users whose access is administered by the entity. For those users whose access is administered by the entity, user system credentials are removed when user access is no longer authorized. The entity applies the principles of least privilege and need-to-know in granting access.","To ensure that only authorized individuals are granted access to systems, that access rights are commensurate with job responsibilities, and that access is promptly removed upon termination or role change."
CC6.6,CC - Logical and Physical Access Controls,"The entity implements logical access security measures to protect against threats from sources outside its system boundaries, including (1) restricting access to information assets from outside the entity to only authorized users; (2) protecting identification and authentication credentials; (3) requiring multifactor authentication for network access originating outside the entity's boundaries; and (4) implementing boundary protection systems such as firewalls and intrusion detection systems.","To protect system resources from unauthorized external access by enforcing strong authentication, perimeter controls, and multifactor authentication for all remote and external access vectors."
CC7.2,CC - System Operations,"The entity monitors system components and the operation of those components for anomalies that are indicative of malicious acts, natural disasters, and errors affecting the entity's ability to meet its objectives. Monitoring includes (1) use of detection tools and techniques; (2) assessment of performance against benchmarks; (3) detection of anomalies; and (4) evaluation of security events to classify them as incidents or non-incidents.","To detect threats and anomalous activity in a timely manner through continuous monitoring, alerting, and classification of security events so that response actions can be initiated before material impact occurs."
CC7.3,CC - System Operations,"The entity evaluates security events to determine whether they could or have resulted in a failure of the entity to meet its objectives (security incidents) and, if so, takes actions to prevent or address such failures. Evaluation activities include (1) identifying the root cause of security incidents; (2) determining whether the incident constitutes a breach; (3) assessing the impact to system availability, confidentiality, and integrity; and (4) reporting findings to appropriate personnel.","To ensure that security events are systematically triaged, root-caused, and escalated in accordance with defined severity thresholds, and that lessons learned are incorporated into preventive controls."
CC8.1,CC - Change Management,"The entity authorizes, designs, develops or acquires, configures, documents, tests, approves, and implements changes to infrastructure, data, software, and procedures to meet its objectives. Change management controls include (1) segregation of duties between development, testing, and production environments; (2) documented change requests and approvals; (3) pre-production testing and quality assurance; and (4) rollback and recovery procedures for failed changes.","To ensure that all changes to production systems are controlled, tested, and authorized, minimizing the risk of unintended disruptions to system availability, integrity, and security."
A1.2,A - Availability,"The entity authorizes, designs, develops or acquires, implements, operates, approves, maintains, and monitors environmental protections, software, data back-up processes, and recovery infrastructure to meet its availability commitments and system requirements. This includes (1) offsite or redundant backup storage; (2) regular testing of restoration procedures; (3) environmental controls such as power, cooling, and fire suppression; and (4) documented recovery time and recovery point objectives.","To ensure the entity can restore systems and data within defined recovery objectives following unplanned outages, disasters, or data loss events, and that environmental safeguards protect physical infrastructure from disruption."
CC1.2,CC - Control Environment,"The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control. The board (1) establishes policies and procedures for receiving and addressing allegations of impropriety; (2) reviews and approves significant policies related to security and compliance; (3) receives and evaluates reports from management on the effectiveness of controls; and (4) maintains oversight accountability for the entity's security program.","To ensure that governance structures provide independent oversight of the entity's internal control environment and that accountability for security and compliance is established at the board level."
CC2.2,CC - Communication and Information,"The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control. Communication activities include (1) distribution of security policies and procedures to relevant personnel; (2) security awareness training at onboarding and on an annual basis; (3) mechanisms for employees to report control deficiencies or concerns; and (4) timely communication of changes to security requirements.","To ensure that personnel understand their roles and responsibilities with respect to internal controls and that information necessary to operate controls effectively is communicated through appropriate channels in a timely manner."
CC5.3,CC - Control Activities,"The entity deploys control activities through policies that establish what is expected and in procedures that put policies into action. Control activity documentation includes (1) written security policies reviewed and approved at least annually; (2) operational procedures that translate policy requirements into step-by-step instructions; (3) version control and change history for all policy documents; and (4) evidence of policy acknowledgment by applicable personnel.","To ensure that control expectations are clearly documented in enforceable policies and that corresponding operational procedures exist to guide consistent execution of those controls across the organization."
CC9.2,CC - Risk Mitigation,"The entity assesses and manages risks associated with vendors and business partners. Vendor risk management activities include (1) formal vendor risk assessments prior to onboarding; (2) contractual security requirements and data protection obligations; (3) periodic review of third-party SOC reports, certifications, or equivalent assurances; (4) monitoring of vendor performance against agreed service levels; and (5) defined procedures for offboarding vendors and revoking access.","To ensure that risks introduced by third-party vendors and business partners are identified, assessed, and mitigated through contractual controls, ongoing monitoring, and structured offboarding to protect the entity's systems and data."
A1.1,A - Availability,"The entity maintains, monitors, and evaluates current processing capacity and use of system components (infrastructure, data, and software) to manage capacity demand and to enable the implementation of additional capacity to help meet its availability commitments and system requirements. Capacity management activities include (1) monitoring of CPU, memory, storage, and network utilization against defined thresholds; (2) trend analysis and capacity forecasting; (3) alerting when utilization approaches defined limits; and (4) documented procedures for scaling resources in response to demand increases.","To ensure that the entity proactively identifies and addresses capacity constraints before they result in service degradation or unavailability, and that infrastructure can be scaled to meet current and projected availability commitments."
